method,difficulty,episodes,successful_episodes,success_rate_percent,avg_reward,std_reward,min_reward,max_reward,avg_steps,std_steps
PPO agent,0.0,100,100,100.0,10584.33,0.0,10584.33,10584.33,503.0,0.0
PPO agent,0.5,100,76,76.0,8582.58,4978.39,184.8,10562.91,493.46,86.2
PPO agent,1.0,100,51,51.0,5504.1,4717.09,160.58,10637.33,501.01,117.04
